,Unnamed: 0,IMPAQ_ID,REI,DBA Name,Address Line 1,Address Line 2,City,State,Zip,Latitude,Longitude,Full Address,matchsource,est_id,found_pic,Manual Result,name_update,addr_update,lat_update,lon_update,biz_status,DBA Name_update,Full Address_update,Latitude_update,Longitude_update,Coordinates,On Tribe Land,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id,Address Line 1_update,City_update,State_update,Zip_update,County,County_update,SoS_record,entity,agent_name,agent_address,agent_city,agent_state,agent_zip
30,1088,1088,NY698697,NATIVE SISTERS SMOKE SHOP,189 POOSPATUCK LN,,MASTIC,NY,11950,40.789551,-72.8313,"189 POOSPATUCK LN  MASTIC, NY 11950",Original,1088.0,,,Correct,Correct,Correct,Correct,Active,NATIVE SISTERS SMOKE SHOP,"189 POOSPATUCK LN MASTIC, NY 11950",40.789551,-72.8313,POINT (-72.8313 40.789551),No,64.64571268,,,Mohegan,Mohegan Off-Reservation Trust Land,From Original List,,,,,,No changes,No changes,No changes,No changes,,SUFFOLK,,,,,,,
31,1089,1089,NY698698,NATIVE SONS TOBACCO,50A MONTAUK HIGHWAY,,SOUTHAMPTON,NY,11968,40.8848622,-72.4285,"50A MONTAUK HIGHWAY  SOUTHAMPTON, NY 11968",Original,1089.0,,,Correct,"50 Montauk Hwy A, Southampton, NY 11968, USA",40.8849528,-72.4302982,Active,NATIVE SONS TOBACCO,"50 Montauk Hwy A, Southampton, NY 11968, USA",40.8849528,-72.43029820000001,POINT (-72.43029820000002 40.8849528),No,43.48892811,,,Mohegan,Mohegan Off-Reservation Trust Land,From Original List,,,,,,50 MONTAUK HWY A,SOUTHAMPTON,NY,11968,,SUFFOLK,1741490.0,NATIVE SONS TOBACCO INC.,,,,,
32,1090,1090,NY699659,PAPA'S PLACE II,1712 ROUTE 219,,LIMESTONE,NY,14753,42.076627,-78.63627,"1712 ROUTE 219  LIMESTONE, NY 14753",Original,1090.0,,,Correct,Correct,Correct,Correct,Active,PAPA'S PLACE II,"1712 ROUTE 219 LIMESTONE, NY 14753",42.076627,-78.63627,POINT (-78.63627 42.076627),Yes,0.0,Allegany,Allegany Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,CATTARAUGUS,,,,,,,
33,1091,1091,NY699743,PARKVIEW SUPERMARKET,545 BROAD ST,,SALAMANCA,NY,14779,42.156918,-78.7359,"545 BROAD ST  SALAMANCA, NY 14779",Original,1091.0,,,Correct,Correct,Correct,Correct,Active,PARKVIEW SUPERMARKET,"545 BROAD ST SALAMANCA, NY 14779",42.156918,-78.7359,POINT (-78.7359 42.156918),Yes,0.0,Allegany,Allegany Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,CATTARAUGUS,,,,,,,
34,1092,1092,NY700665,RAINDROPS QUICK STOP,40 MONTAUK HWY,,SOUTHAMPTON,NY,11968,40.8847354,-72.42733,"40 MONTAUK HWY  SOUTHAMPTON, NY 11968",Original,1092.0,,,Correct,Correct,Correct,Correct,Active,RAINDROPS QUICK STOP,"40 MONTAUK HWY SOUTHAMPTON, NY 11968",40.8847354,-72.42733,POINT (-72.42733 40.8847354),No,43.40932847,,,Mohegan,Mohegan Off-Reservation Trust Land,From Original List,,,,,,No changes,No changes,No changes,No changes,,SUFFOLK,,,,,,,
35,1093,1093,NY700701,RANDY'S SMOKE SHOP,1325 UPPER MOUNTAIN ROAD,,LEWISTON,NY,14092,43.172741,-78.98971,"1325 UPPER MOUNTAIN ROAD  LEWISTON, NY 14092",Original,1093.0,,,Correct,Correct,Correct,Correct,Active,RANDY'S SMOKE SHOP,"1325 UPPER MOUNTAIN ROAD LEWISTON, NY 14092",43.172740999999995,-78.98971,POINT (-78.98971 43.17274099999999),Yes,0.0,Tuscarora Nation,Tuscarora Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,NIAGARA,,,,,,,
36,1094,1094,NY701380,SACAJAWEA INDIAN MARKET,888 BLOOMINGDALE RD,,BASOM,NY,14013,43.060547,-78.41891,"888 BLOOMINGDALE RD  BASOM, NY 14013",Original,1094.0,,,SACAJAWEA SMOKE SHOP,Correct,Correct,Correct,Active,SACAJAWEA SMOKE SHOP,"888 BLOOMINGDALE RD BASOM, NY 14013",43.060547,-78.41891,POINT (-78.41891 43.060547),Yes,0.0,Tonawanda,Tonawanda Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,GENESEE,,,,,,,
37,1095,1095,NY701768,SENECA ERIE GAMING CORP,1 FULTON ST,,BUFFALO,NY,14204,42.873902,-78.87149000000002,"1 FULTON ST  BUFFALO, NY 14204",Original,1095.0,1.0,yes,SENECA BUFFALO CREEK CASINO,Correct,Correct,Correct,Active,SENECA BUFFALO CREEK CASINO,"1 FULTON ST BUFFALO, NY 14204",42.873902,-78.87149000000001,POINT (-78.87149000000002 42.873902),No,17.82784914,,,Tuscarora Nation,Tuscarora Nation Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,ERIE,,,,,,,
38,1096,1096,NY701770,SENECA HICKORY STICK GOLF,4560 CREEK RD,,LEWISTON,NY,14092,43.192871,-79.01785,"4560 CREEK RD  LEWISTON, NY 14092",Original,1096.0,,,Correct,Correct,Correct,Correct,Active,SENECA HICKORY STICK GOLF,"4560 CREEK RD LEWISTON, NY 14092",43.192871000000004,-79.01785,POINT (-79.01785 43.192871),No,1.692566122,,,Tuscarora Nation,Tuscarora Nation Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,NIAGARA,,,,,,,
39,1097,1097,NY701774,SENECA NATION OF INDIANS,11482 ROUTE 20,,IRVING,NY,14081,42.571761,-79.0967,"11482 ROUTE 20  IRVING, NY 14081",Original,1097.0,,,NATIVE PRIDE TRAVEL PLAZA,Correct,Correct,Correct,Active,NATIVE PRIDE TRAVEL PLAZA,"11482 ROUTE 20 IRVING, NY 14081",42.571760999999995,-79.0967,POINT (-79.0967 42.571761),Yes,0.0,Cattaraugus,Cattaraugus Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,ERIE,,,,,,,
40,1098,1098,NY701775,SENECA NATION OF INDIANS,1720 BUSH RD,,GOWANDA,NY,14070,42.51423,-78.97188,"1720 BUSH RD  GOWANDA, NY 14070",Original,1098.0,,,Correct,"12837 NY-438, Irving, NY 14081, USA",42.5387008,-78.9972287,Active,SENECA NATION OF INDIANS,"12837 NY-438, Irving, NY 14081, USA",42.538700799999994,-78.99722870000001,POINT (-78.99722870000002 42.5387008),Yes,0.0,Cattaraugus,Cattaraugus Reservation,,,From Original List,,,,,,12837 -438,IRVING,NY,14081,,ERIE,,,,,,,
41,1099,1099,NY701776,SENECA NIAGARA CASINO & HOTEL,310 4TH ST,,NIAGARA FALLS,NY,14303,43.085747,-79.05788000000003,"310 4TH ST  NIAGARA FALLS, NY 14303",Original,1099.0,,,Correct,Correct,Correct,Correct,Active,SENECA NIAGARA CASINO & HOTEL,"310 4TH ST NIAGARA FALLS, NY 14303",43.085747,-79.05788000000001,POINT (-79.05788000000003 43.085747),No,6.3821411370000005,,,Tuscarora Nation,Tuscarora Nation Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,NIAGARA,,,,,,,
42,1100,1100,NY701777,SENECA ONE STOP - IRVING,11150 ROUTE 20,,IRVING,NY,14081,42.579258,-79.07694000000002,"11150 ROUTE 20  IRVING, NY 14081",Original,1100.0,,,Correct,"11150 Rte 5 & 20, Irving, NY 14081, USA",42.5827805,-79.0693523,Active,SENECA ONE STOP - IRVING,"11150 Rte 5 & 20, Irving, NY 14081, USA",42.5827805,-79.06935229999999,POINT (-79.06935229999998 42.5827805),No,0.013341938000000001,,,Cattaraugus,Cattaraugus Reservation,From Original List,,,,,,11150 RTE 5 & 20,IRVING,NY,14081,,ERIE,,,,,,,
43,1101,1101,NY701778,SENECA ONE STOP,5376 COUNTY ROAD 7D,,CUBA,NY,14727,42.243783,-78.30814000000002,"5376 COUNTY ROAD 7D  CUBA, NY 14727",Original,1101.0,,,Correct,"5376 W Shore Rd, Cuba, NY 14727, USA",42.2359828,-78.3100344,Active,SENECA ONE STOP,"5376 W Shore Rd, Cuba, NY 14727, USA",42.235982799999995,-78.3100344,POINT (-78.31003439999998 42.2359828),Yes,0.0,Oil Springs,Oil Springs Reservation,,,From Original List,,,,,,5376 W SHORE RD,CUBA,NY,14727,,CATTARAUGUS,,,,,,,
44,1102,1102,NY701779,SENECA ONE STOP,745 BROAD ST,,SALAMANCA,NY,14779,42.15851,-78.7442,"745 BROAD ST  SALAMANCA, NY 14779",Original,1102.0,,,Correct,Correct,Correct,Correct,Active,SENECA ONE STOP,"745 BROAD ST SALAMANCA, NY 14779",42.15851,-78.7442,POINT (-78.74420000000001 42.15851),Yes,0.0,Allegany,Allegany Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,CATTARAUGUS,,,,,,,
