id,address,match,matchtype,parsed,tigerlineid,side,statefp,countyfp,tract,block,Longitude,Latitude,matchsource
658.0,"1933  CLIFF DR STE 1, SANTA BARBARA, CA, 93109",True,Exact,"1933 CLIFF DR, SANTA BARBARA, CA, 93109",108659880.0,L,6.0,83.0,1208.0,4000.0,-119.72259,34.401638,Census
417.0,"1130  WARNER ROAD, BUILDING B TEMPE, AZ, 85284",True,ROOFTOP,,,,,,,,-111.956172,33.336187699999996,Google
538.0,"44-250  MONROE ST, INDIO, CA, 92201",True,ROOFTOP,,,,,,,,-116.2335301,33.727720700000006,Google
659.0,"3090  BRISTOL STREET STE 550, COSTA MESA, CA, 92626",True,Exact,"3090 BRISTOL ST, COSTA MESA, CA, 92626",636434016.0,R,6.0,59.0,63908.0,2009.0,-117.88563500000001,33.685584999999996,Census
418.0,"185  NO. ROBERTSON BLVD., BEVERLY HILLS, CA, 90211",True,Exact,"185 ROBERTSON BLVD, BEVERLY HILLS, CA, 90211",142719308.0,R,6.0,37.0,700901.0,4007.0,-118.38361,34.065353,Census
539.0,"1849  EL CIELO RD, PALM SPRINGS, CA, 92264",True,ROOFTOP,,,,,,,,-116.5109577,33.80083629999999,Google
419.0,", ARTOIS, CA, 95913",False,,,,,,,,,,,
660.0,"19223  COLIMA RD  # 938, ROWLAND HEIGHTS, CA, 91748",True,Exact,"19223 COLIMA RD, ROWLAND HGHTS, CA, 91748",241247917.0,L,6.0,37.0,408212.0,2048.0,-117.88426000000001,33.987217,Census
540.0,"2970  CALLE, ARANDAS PALM SPRINGS, CA, 92264",True,ROOFTOP,,,,,,,,-116.4711206,33.7905304,Google
661.0,"1542  HOLT BLVD, ONTARIO, CA, 91762",True,Non_Exact,"1542 W HOLT BLVD, ONTARIO, CA, 91762",144968833.0,R,6.0,71.0,1002.0,2007.0,-117.67962,34.063305,Census
420.0,"1167  BURWICK LANE, FOLSOM, CA, 95630",True,Exact,"1167 BURWICK LN, FOLSOM, CA, 95630",629822915.0,R,6.0,67.0,8512.0,2000.0,-121.10284399999999,38.680515,Census
541.0,"39  CALIFORNIA AVE STE 204, PLEASANTON, CA, 94566",True,Exact,"39 CALIFORNIA AVE, PLEASANTON, CA, 94566",606834121.0,R,6.0,1.0,450741.0,1004.0,-121.86233500000002,37.669125,Census
662.0,"16451VANOWEN ST, VAN NUYS, CA, 91406",True,ROOFTOP,,,,,,,,-118.49204040000001,34.1941869,Google
300.0,"4213  MCHENRY AVE, MODESTO, CA, 95356",True,Exact,"4213 MCHENRY AVE, MODESTO, CA, 95356",644834776.0,L,6.0,99.0,506.0,4009.0,-120.99448999999998,37.698463000000004,Census
421.0,"85  MARSH ROAD, ATHERTON, CA, 94027",True,Exact,"85 MARSH RD, ATHERTON, CA, 94027",192388091.0,L,6.0,81.0,611500.0,2000.0,-122.190025,37.471165,Census
542.0,"1233  SHAW AVE. SUITE 100, FRESNO, CA, 93711",True,Non_Exact,"1233 W SHAW AVE, FRESNO, CA, 93711",639038850.0,L,6.0,19.0,4602.0,3005.0,-119.81373,36.808334,Census
663.0,"4817  AZUSA CANYON RD, BALDWIN PARK, CA, 91706",True,Exact,"4817 AZUSA CANYON RD, BALDWIN PARK, CA, 91706",241245325.0,L,6.0,37.0,405002.0,1010.0,-117.942986,34.100437,Census
301.0,"5621  BALBOA AVE, SAN DIEGO, CA, 92111",True,Exact,"5621 BALBOA AVE, SAN DIEGO, CA, 92111",195305046.0,R,6.0,73.0,8509.0,5003.0,-117.17998,32.819953999999996,Census
422.0,"360  CRESCENT DR, BEVERLY HILLS, CA, 90210",True,Non_Exact,"360 N CRESCENT DR, BEVERLY HILLS, CA, 90210",141572435.0,R,6.0,37.0,700801.0,3005.0,-118.39998999999999,34.071459999999995,Census
543.0,"72000  MAGNESIA FALLS DR STE 3, RANCHO MIRAGE, CA, 92270",True,ROOFTOP,,,,,,,,-116.40673059999999,33.7361814,Google
664.0,"958  HOMESTEAD RD, SANTA CLARA, CA, 95050",True,Exact,"958 HOMESTEAD RD, SANTA CLARA, CA, 95050",122902703.0,L,6.0,85.0,505600.0,3011.0,-121.94373,37.348877,Census
302.0,"718  LA BREA AVE, INGLEWOOD, CA, 90302",True,RANGE_INTERPOLATED,,,,,,,,-118.3521957,33.954402200000004,Google
423.0,"8976  GRANTLINE RD, ELK GROVE, CA, 95624",True,Non_Exact,"8976 GRANT LINE RD, ELK GROVE, CA, 95624",133366036.0,L,6.0,67.0,9324.0,2009.0,-121.3,38.431496,Census
544.0,"8484  CLUBHOUSE BLVD, DESERT HOT SPRINGS, CA, 92240",True,Exact,"8484 CLUBHOUSE BLVD, DESERT HOT SPRINGS, CA, 92240",194721471.0,R,6.0,65.0,44517.0,1020.0,-116.53653999999999,33.986422999999995,Census
665.0,"1425  VETERAN'S MEMORIAL CIRCLE, YUBA CITY, CA, 95993",True,ROOFTOP,,,,,,,,-121.63624250000001,39.1450472,Google
