id,address,match,matchtype,parsed,tigerlineid,side,statefp,countyfp,tract,block,lon,lat
402,"1151  SONORA AVE. UNIT 306, GLENDALE, CA, 91201",True,Exact,"1151 SONORA AVE, GLENDALE, CA, 91201",141596521,L,06,037,301502,1000,-118.28422,34.16982
523,"1235 AVENUE I, LANCASTER, CA, 93534",False,,,,,,,,,,
644,"6001  BOLLINGER CANYON RD, SAN RAMON, CA, 94583",True,Exact,"6001 BOLLINGER CANYON RD, SAN RAMON, CA, 94583",192093602,R,06,013,345111,1001,-121.95989,37.761497
403,"2110  HUTTON DR STE 100, CARROLLTON, TX, 75006",True,Exact,"2110 HUTTON DR, CARROLLTON, TX, 75006",102995295,L,48,113,014002,2122,-96.91529,32.93617
524,"1849  EL CIELO ROAD, PALM SPRINGS, CA, 92264",False,,,,,,,,,,
645,"558  LAKEVIEW DRIVE, BRENTWOOD, CA, 94513",True,Exact,"558 LAKEVIEW DR, BRENTWOOD, CA, 94513",192115265,R,06,013,303201,3041,-121.74895,37.929607
404,"234  AUBURN ST., GRASS VALLEY, CA, 95945",False,,,,,,,,,,
525,"259-A  GUADALUPE ST, GUADALUPE, CA, 93434",True,Exact,"259 GUADALUPE ST, GUADALUPE, CA, 93434",108637899,L,06,083,002502,4009,-120.57399,34.960728
646,"505  FLOWER STREET, LEVEL C LOS ANGELES, CA, 90071",False,,,,,,,,,,
405,"2649  GIORNO WAY, EL DORADO HILLS, CA, 95762",True,Exact,"2649 GIORNO WAY, EL DORADO HLS, CA, 95762",607158536,L,06,017,031700,1015,-121.09491,38.697308
526,"2596  FOOTHILL_BLVD, SAN BERNARDINO, CA, 92410",False,,,,,,,,,,
647,", LOS ANGELES, CA, 90021",False,,,,,,,,,,
406,"1915  TARLETON ST, LOS ANGELES, CA, 90011",True,Exact,"1915 TARLETON ST, LOS ANGELES, CA, 90011",141621141,R,06,037,226001,2033,-118.24539,34.021175
527,"4126  MONTEREY HWY, SAN JOSE, CA, 95121",False,,,,,,,,,,
648,"31288  RED BRIDGE RD., MURRIETA, CA, 92563",False,,,,,,,,,,
407,"5715  CORSA AVE STE 110, WESTLAKE VILLAGE, CA, 91362",True,Exact,"5715 CORSA AVE, WESTLAKE VLG, CA, 91362",141719127,R,06,037,800331,1017,-118.79935,34.15709
528,", LA HABRA, CA, 90631",False,,,,,,,,,,
649,"505  FLOWER STREET, PLAZA C LOS ANGELES, CA, 90071",False,,,,,,,,,,
408,"6746  VALJEAN  SUITE 101, LOS ANGELES, CA, 91406",False,,,,,,,,,,
529,", , , nan",False,,,,,,,,,,
409,"4811  CHIPPENDALE DRIVE STE 101, SACRAMENTO, CA, 95841",True,Exact,"4811 CHIPPENDALE DR, SACRAMENTO, CA, 95841",133426196,L,06,067,007501,5005,-121.35257,38.662804
650,"500  VOLVO PKWY, CHESAPEAKE, VA, 23320",True,Exact,"500 VOLVO PKWY, CHESAPEAKE, VA, 23320",121792407,L,51,550,020805,1046,-76.24311,36.76693
530,"6400  BROADWAY BLVD UNIT B, LOS ANGELES, CA, 90003",False,,,,,,,,,,
651,"500  VOLVO PARKWAY, CHESAPEAKE, VA, 23320",True,Exact,"500 VOLVO PKWY, CHESAPEAKE, VA, 23320",121792407,L,51,550,020805,1046,-76.24311,36.76693
410,"9589  TOPANGA CANYON BLVD, CHATSWORTH, CA, 91311",True,Exact,"9589 TOPANGA CANYON BLVD, CHATSWORTH, CA, 91311",141807136,L,06,037,113237,1024,-118.60671,34.24398
531,"4712  ALBANY DR  # B202, SAN JOSE, CA, 95129",True,Exact,"4712 ALBANY DR, SAN JOSE, CA, 95129",635290503,R,06,085,506203,2011,-121.98533,37.321304
652,"3222  WINONA WAY, NORTH HIGHLANDS, CA, 95660",True,Exact,"3222 WINONA WAY, N HIGHLANDS, CA, 95660",629159787,L,06,067,007301,3203,-121.38984,38.65173
411,", ARTOIS, CA, 95913",False,,,,,,,,,,
532,"2098  HARVEST RD  # C-230, SAN DIEGO, CA, 92154",False,,,,,,,,,,
653,"500  VOLVO PKWY, CHEASPEAKE, VA, 23320",True,Non_Exact,"500 VOLVO PKWY, CHESAPEAKE, VA, 23320",121792407,L,51,550,020805,1046,-76.24311,36.76693
