IMPAQ_ID,DBA Name,DBA Name_changes,DBA Name_update,Address Line 1,Address Line 1_changes,Address Line 1_update,City,City_changes,City_update,State,State_changes,State_update,Zip,Zip_changes,Zip_update,Latitude,Latitude_changes,Latitude_update,Longitude,Longitude_changes,Longitude_update,Full Address,Full Address_changes,Full Address_update,County,County_changes,County_update,Business Status,Business Status_changes,Business Status_update,On Tribe Land,On Tribe Land_changes,On Tribe Land_update,Address Line 2,matchsource,est_id,found_pic,Manual Result,Coordinates,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id
3038,,,DOLLAR GENERAL,401 E 15TH ST,Correct,401 E 15TH ST,HORTON,Correct,HORTON,KS,Correct,KS,66439,Correct,66439,,,39.666942399999996,,,-95.5223218,,,"401 E 15th St, Horton, KS, 66439",,Correct,BROWN,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-95.5223218 39.6669424),,Kickapoo (KS),Kickapoo (KS) Reservation,,,New Retailer,Dollar General/HQ,Goodlettsville,TN,N,3846691.0
3039,,,CROW CREEK,101 HWY 47,Correct,101 HWY 47,FORT THOMPSON,Correct,FORT THOMPSON,SD,Correct,SD,57339,Correct,57339,,,44.0706474,,,-99.4378791,,,"101 Hwy 47, Fort Thompson, SD, 57339",,Correct,BUFFALO,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-99.4378791 44.0706474),,Crow Creek,Crow Creek Reservation,,,New Retailer,Independent,,,N,7339530.0
3040,,,FAMILY DOLLAR,106 W CENTRAL BLVD,Correct,106 W CENTRAL BLVD,ANADARKO,Correct,ANADARKO,OK,Correct,OK,73005,Correct,73005,,,35.07242,,,-98.24351999999999,,,"106 W Central Blvd, Anadarko, OK, 73005",,Correct,CADDO,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-98.24352 35.07242),,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA,,,New Retailer,Family Dollar Stores Inc,Matthews,NC,N,867443.0
3041,,,DOLLAR GENERAL,42 OLD RIVER RD,Correct,42 OLD RIVER RD,PONCA CITY,Correct,PONCA CITY,OK,Correct,OK,74604,Correct,74604,,,36.6799239,,,-97.0500296,,,"42 Old River Rd, Ponca City, OK, 74604",,Correct,OSAGE,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-97.0500296 36.6799239),,Osage,Osage Reservation,,,New Retailer,Dollar General/HQ,Goodlettsville,TN,N,7094041.0
3042,,,CASEYS GENERAL STORE,524 W HIGHWAY 46,Correct,524 W HIGHWAY 46,WAGNER,Correct,WAGNER,SD,Correct,SD,57380,Correct,57380,,,43.081672999999995,,,-98.30136999999999,,,"524 W Highway 46, Wagner, SD, 57380",,Correct,CHARLES MIX,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-98.30137000000001 43.081673),,Yankton,Yankton Reservation,,,New Retailer,Caseys Gen Stores/Krings,Ankeny,IA,N,1873947.0
3043,,,DOLLAR TREE,716 W PETREE RD,Correct,716 W PETREE RD,ANADARKO,Correct,ANADARKO,OK,Correct,OK,73005,Correct,73005,,,35.0578961,,,-98.244709,,,"716 W Petree Rd, Anadarko, OK, 73005",,Correct,CADDO,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-98.244709 35.0578961),,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA,,,New Retailer,Dollar Tree/HQ,Chesapeake,VA,N,7456733.0
3044,,,DOLLAR TREE,49976 HARRISON ST,Correct,49976 HARRISON ST,COACHELLA,Correct,COACHELLA,CA,Correct,CA,92236,Correct,92236,,,33.68569,,,-116.1815,,,"49976 Harrison St, Coachella, CA, 92236",,Correct,RIVERSIDE,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-116.1815 33.68569),,Cabazon,Cabazon Reservation,,,New Retailer,Dollar Tree/HQ,Chesapeake,VA,N,771714.0
3045,,,WANBLEE MART,22885 SD HWY 44,Correct,22885 SD HWY 44,WANBLEE,Correct,WANBLEE,SD,Correct,SD,57577,Correct,57577,,,43.5777092,,,-101.6554191,,,"22885 Sd Hwy 44, Wanblee, SD, 57577",,Correct,JACKSON,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-101.6554191 43.5777092),,Pine Ridge,Pine Ridge Reservation,,,New Retailer,Independent,,,N,905480.0
3046,,,ANGELS MARKET,101 N MAIN ST,Correct,101 N MAIN ST,KYLE,Correct,KYLE,SD,Correct,SD,57752,Correct,57752,,,43.424833,,,-102.175301,,,"101 N Main St, Kyle, SD, 57752",,Correct,SHANNON,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-102.175301 43.424833),,Pine Ridge,Pine Ridge Reservation,,,New Retailer,Independent,,,N,564281.0
3047,,,PORCUPINE STORE,100 N MAIN ST,Correct,100 N MAIN ST,PORCUPINE,Correct,PORCUPINE,SD,Correct,SD,57772,Correct,57772,,,43.2397811,,,-102.3303679,,,"100 N Main St, Porcupine, SD, 57772",,Correct,SHANNON,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-102.3303679 43.2397811),,Pine Ridge,Pine Ridge Reservation,,,New Retailer,Independent,,,N,564289.0
