address,block,countyfp,id,lat,lon,match,matchtype,parsed,side,statefp,tigerlineid,tract
"4794 N Virginia St, Reno, NV, 89506",,,925753.0,,,False,,,,,,
"790 Jamacha Rd, El Cajon, CA, 92019",4000,073,325842.0,32.785637,-116.92791,True,Exact,"790 JAMACHA RD, EL CAJON, CA, 92019",R,06,195333837,015404
"Main St, Eagle Butte, SD, 57625",,,1447562.0,,,False,,,,,,
"180 N State St, Saint Ignace, MI, 49781",3016,097,3584925.0,45.86811,-84.724846,True,Non_Exact,"180 N STATE ST, SAINT IGNACE, MI, 49781",L,26,130710134,950500
"4040 Westcliff Dr, Hood River, OR, 97031",5001,027,2479594.0,45.71038,-121.555435,True,Exact,"4040 WESTCLIFF DR, HOOD RIVER, OR, 97031",L,41,642053725,950200
"2000 Paul Bunyan Dr NW, Bemidji, MN, 56601",,,2626128.0,,,False,,,,,,
"545 Nichols Blvd, Sparks, NV, 89431",3012,031,1906803.0,39.536575,-119.737785,True,Exact,"545 NICHOLS BLVD, SPARKS, NV, 89431",R,32,640022339,003000
"31993 280th St, Aitkin, MN, 56431",2051,001,1867174.0,46.41803,-93.51484,True,Exact,"31993 280TH ST, AITKIN, MN, 56431",R,27,162601100,790501
"602 Main St, Tower, MN, 55790",4107,137,1406884.0,47.80529,-92.27652,True,Exact,"602 MAIN ST, TOWER, MN, 55790",L,27,163187390,015400
"519 3rd St, Langdon, ND, 58249",1101,019,1411171.0,48.757736,-98.36827,True,Exact,"519 3RD ST, LANGDON, ND, 58249",R,38,181361526,950900
"900 W Broadway Ave, Bloomfield, NM, 87413",2011,045,769494.0,36.711277,-107.96753,True,Non_Exact,"900 E BROADWAY AVE, BLOOMFIELD, NM, 87413",L,35,627781510,000705
"209 Main St, New Effington, SD, 57255",3134,109,2457492.0,45.85668,-96.92011,True,Exact,"209 MAIN ST, NEW EFFINGTON, SD, 57255",L,46,196102626,940700
"134 La Rue Medecine St, Marksville, LA, 71351",5040,009,666189.0,31.132187,-92.081024,True,Exact,"134 LA RUE MEDECINE ST, MARKSVILLE, LA, 71351",L,22,13154406,030400
"27364 State Highway 18, Garrison, MN, 56450",2079,035,1425823.0,46.29684,-93.82538,True,Exact,"27364 STATE HWY 18, GARRISON, MN, 56450",R,27,611819350,951600
"301 Bridge St, Charlevoix, MI, 49720",,,662819.0,,,False,,,,,,
"24136 St Hwy 35, Siren, WI, 54872",2031,013,7580353.0,45.791367,-92.381035,True,Non_Exact,"24136 STATE HWY 35, SIREN, WI, 54872",R,55,167461108,970800
